Institution Name,Region,Institution Type,Country,Fiscal Year,Sub-Type
Colonial First State ,Domestic,Asset Manager,,,
Colonial First State ,Domestic,Asset Manager,,,
Colonial First State ,Australia,Asset Managers,,,
Colonial First State ,Domestic,Asset Managers,,,
Colonial First State ,Domestic,Asset Managers,,,
COLONIAL FIRST STATE INV LTD,Australia,Asset Managers,,,
COLONIAL FIRST STATE INV LTD,Australia,Asset Managers,,,
Commonwealth Bank of Australia,Domestic,Banks / Corporates,,,
Commonwealth Bank of Australia,Domestic,Banks / Corporates,,,
Commonwealth Bank of Australia,Australia,Banks / Corporates,,,
CREDIT AGRICOLE ,Europe,Banks / Corporates,,,
Credit Suisse AG (CH),Europe,Bank / Corporates,,,
Credit Suisse Asset Management Investments Ltd,Europe,Asset Managers,,,
Credit Suisse Asset Management Investments Ltd,Europe,Banks / Corporates,,,
Credit Suisse Asset Management Investments Ltd,Europe,Asset Managers,,,
CREDIT SUISSE FIRST BOSTON ZURICH,Europe,Banks / Corporates,,,
Dai-ichi Life Insurance Company,Japan,Insurance / Pension,,,
Dai-ichi Life Insurance Company,Japan,Insurance / Pension,,,
Dai-ichi Life Insurance Company,Japan,Insurance / Pension,,,
Dai-ichi Life Insurance Company,Japan,Insurance,,,
Daiwa,Europe,Banks / Corporates,,,
Daiwa ,Japan,Asset Managers,,,
Daiwa ,Asia,Asset Managers,,,
Daiwa ,Japan,Banks / Corporates,,,
Daiwa ,Asia,Asset Managers,,,
Daiwa ,Japan,Asset Managers,,,
Daiwa AM,Japan,Asset Manager,,,
Daiwa AM,Japan,Asset Managers,,,
Daiwa AM,Japan,Asset Managers,,,
Daiwa AM,Asia,Asset Managers,,,
Daiwa AM,Japan,Asset Managers,,,
Daiwa ,Europe,Banks / Corporates,,,
Daiwa ,Europe,Banks / Corporates,,,
Daiwa ,Japan,Asset Managers,,,
Daiwa ,Japan,Asset Managers,,,
"DBS BANK (HONG KONG) LTD, HK",Asia,Banks / Corporates,,,
Deutsche Bank ,Asia,Banks / Corporates,,,
Deutsche Bank ,Europe,Banks / Corporates,,,
Deutsche Bank ,Europe,Banks / Corporates,,,
Deutsche Bank Treasury,Australia,Banks / Corporates,,,
Development Bank of Singapore (DBS),Asia,Central Banks / Official Institutions,,,
Development Bank of Singapore (DBS),Non-Japan Asia,Banks / Corporates,,,
DFL,Domestic,Insurance / Pension,,,
Fonds de Compensation,Europe,Asset Managers,,,
Goldman Sachs Asset Management,Europe,Asset Managers,,,
Government of Singapore Inv. Corp. (GIC),Asia,Central Banks / Official Institutions,,,
Government of Singapore Inv. Corp. (GIC),Asia,Central Banks / Official Institutions,,,
Groupama Asset Management SA,Europe,Asset Managers,,,
GSAM,Europe & Middle East,Fund Managers,,,
Guy Butler,Europe,Fund Managers,,,
Hang Seng,Asia,Fund Managers,,,
Hang Seng Bank HK,Asia,Bank / Corporates,,,
Hansa Hamberg,Europe,Asset Managers,,,
Happolim,Middle East,Banks / Corporates,,,
Henderson Global Investors,Australia,Asset Managers,,,
Henderson Global Investors,Australia,Asset Managers,,,
Hong Kong Monetary Authority (HKMA),Asia,Central Banks / Official Institutions,,,
Hong Kong Monetary Authority (HKMA),Asia,Central Banks / Official Institutions,,,
Hong Kong Monetary Authority (HKMA),Asia,Central Banks / Official Institutions,,,
Hong Kong Monetary Authority (HKMA),Asia,Central Banks / Official Institutions,,,
INVESCO ASSET MANAGEMENT LTD,Asia,Asset Managers,,,
INVESCO ASSET MANAGEMENT LTD,Europe,Asset Managers,,,
INVESCO ASSET MANAGEMENT LTD,Domestic,Asset Managers,,,
INVESCO ASSET MANAGEMENT LTD,Domestic,Asset Managers,,,
Israel Commercial Bank,Europe & Middle East,Banks / Corporates,,,
Jamieson Coote Bond Fund,Australia,Asset Managers,,,
Julius Baer PB Zurich,Europe,Bank / Corporates,,,
KAPSTREAM,Domestic,Asset Managers,,,
Kokusai AM,Japan,Asset Managers,,,
"KOREA INVESTMENT CORPORATION, SEOUL",Asia,Asset Managers,,,
Korean Investment Corporation (KIC),Asia,Central Banks / Official Institutions,,,
Kuwait Investment Office (KIO),Asia,Central Banks / Official Institutions,,,
Liberty Mutual Fund Group,Americas,Asset Managers,,,
Liberty Mutual Fund Group,Americas,Asset Managers,,,
LIBERTY MUTUAL LIFE INSURANCE,Americas,Insurance / Pension,,,
LIBERTY MUTUAL LIFE INSURANCE,Americas,Insurance / Pension,,,
Lion,Asia,Asset Managers,,,
Lloyds Banking Group plc,Europe,Insurance / Pension,,,
Lloyds Banking Group plc,Europe,Insurance / Pension,,,
Loomis,Americas,Asset Managers,,,
Macquarie Investment Management,Domestic,Asset Manager,,,
Manulife,Asia,Insurance / Pension,,,
Manulife,Americas,Asset Managers,,,
Manulife,Americas,Insurance / Pension,,,
Manulife,Americas,Asset Managers,,,
MEAG KAG,Europe,Insurance / Pension,,,
METLIFE ALICO LIFE INSURANCE,Japan,Insurance / Pension,,,
METLIFE ALICO LIFE INSURANCE,Asia,Insurance / Pension,,,
METLIFE ALICO LIFE INSURANCE,Asia,Insurance / Pension,,,
Metlife Investment Asia Ltd,Asia,Insurance / Pension,,,
MIML,Non-Japan Asia,Asset Managers,,,
Mirabaud,Europe,Asset Managers,,,
Mitsubishi UFJ Asset Management,Japan,Asset Manager,,,
Mitsubishi UFJ Asset Management,Japan,Asset Manager,,,
Mitsubishi UFJ Asset Management,Japan,Asset Managers,,,
Mitsubishi UFJ Asset Management,Japan,Asset Managers,,,
Mitsubishi UFJ Asset Management,Japan,Asset Managers,,,
Mitsui Sumitomo Primary Life (MSPL),Japan,Insurance / Pension,,,
"Mitsui Sumitomo Primary Life Insurance Company, Limited",Japan,Insurance / Pension,,,
Mizuho,Japan,Banks / Corporates,,,
Mizuho,Asia,Banks / Corporates,,,
Mizuho,Asia,Banks / Corporates,,,
Mizuho,Japan,Asset Manager,,,
Mizuho,Japan,Asset Managers,,,
Mizuho,Japan,Asset Managers,,,
Mizuho,Japan,Banks / Corporates,,,
Mizuho,Japan,Banks / Corporates,,,
Mizuho,Japan,Asset Managers,,,
NAB ,Domestic,Banks / Corporates,,,
National Pension Service,Asia,Central Banks / Official Institutions,,,
Neuberger & Berman,Americas,Asset Managers,,,
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
New South Wales (NSW / Tcorp),Domestic,Central Banks / Official Institutions,,,
