Institution Name,Region,Institution Type,Country,Fiscal Year,Sub-Type
Central Bank of Netherlands,Europe,Central Banks / Official Institutions,USD,FY10,
Central Bank of Tanzania (Bank of Tanzania),Middle East & Africa,Central Banks / Official Institutions,USD,FY10,
China Intl. Trust & Investment Corporation (CITIC),Asia,Banks / Corporates,USD,FY10,Bank Treasuries
China Minsheng Bank,Asia,Banks / Corporates,USD,FY10,Bank Treasuries
CITIGROUP GLOBAL MARKETS EUROPE,Europe,Banks / Corporates,USD,FY10,Bank Treasuries
Clariden,Europe,Asset Managers,USD,FY10,
Collins,Americas,Asset Managers,USD,FY10,
Conning Asset Management Company Inc,Americas,Asset Managers,USD,FY10,
Credit Suisse Asset Mgmt.,Americas,Asset Managers,USD,FY10,
Credit Suisse Asset Mgmt.,Europe,Asset Managers,USD,FY10,
Dai-ichi Life Insurance Company,Asia,Insurance / Pension,USD,FY10,
Delaware Investments,Americas,Central Banks / Official Institutions,USD,FY10,
Deutsche Asset Management Americas (DWS Investments),Europe,Asset Managers,USD,FY10,
Deutsche Asset Management Americas (DWS Investments),Americas,Asset Managers,USD,FY10,
DRW,Americas,Asset Managers,USD,FY10,
EAGLE AM,Americas,Asset Managers,USD,FY10,
Erste Bank,Europe,Banks / Corporates,USD,FY10,Bank
ESPIRITO SANTO ACTIVOS (ESAF),Europe,Asset Managers,USD,FY10,
FISCHER FRANCIS TREES & WATTS,Americas,Asset Managers,USD,FY10,
Goldman Sachs Asset Management,Europe,Asset Managers,USD,FY10,
Government of Singapore Inv. Corp. (GIC),Asia,Central Banks / Official Institutions,USD,FY10,
GREEK POSTAL,Europe,Asset Managers,USD,FY10,
Guarantee Re,Americas,Asset Managers,USD,FY10,
HK AND SHANGHAI BANKING CORP,Europe,Asset Managers,USD,FY10,
Hong Kong Monetary Authority (HKMA),Asia,Central Banks / Official Institutions,USD,FY10,
HSBC Asset Management,Asia,Asset Managers,USD,FY10,
HSBC Asset Management,Europe,Asset Managers,USD,FY10,
IFP INTERMONEY FINANCL PRDCTS SA,Europe,Asset Managers,USD,FY10,
INTEGRA CAPITAL LTD,Europe,Asset Managers,USD,FY10,
JP Morgan,Europe,Banks / Corporates,USD,FY10,Bank Treasuries
JPMorgan Asset Management,Europe,Asset Managers,USD,FY10,
Kuwait Investment Office (KIO),Middle East & Africa,Central Banks / Official Institutions,USD,FY10,
LA MONDIALE,Europe,Insurance / Pension,USD,FY10,
LANDESBANK HESSEN THUERINGEN GZ,Europe,Asset Managers,USD,FY10,
LES FILS DREYFUS AND CIE SA,Europe,Asset Managers,USD,FY10,
Lombard Odier,Europe,Banks / Corporates,USD,FY10,
Lord Abbett,Americas,Asset Managers,USD,FY10,
MET CAPITAL MAN,Europe,Asset Managers,USD,FY10,
Millennium Partners ,Americas,Asset Managers,USD,FY10,
ML Account X,Americas,Asset Managers,USD,FY10,
MRM SECURITIES,Europe,Asset Managers,USD,FY10,
National Bank of Abu Dhabi,Middle East & Africa,Central Banks / Official Institutions,USD,FY10,
National Bank of Moldova,Middle East & Africa,Central Banks / Official Institutions,USD,FY10,
National Bank of Slovakia,Europe,Central Banks / Official Institutions,USD,FY10,
NEW YORK LIFE INSURANCE COMPANY,Americas,Asset Managers,USD,FY10,
Northern Trust ,Americas,Asset Managers/Pension/Insurance,USD,FY10,
PFA Pension Forsikrinsaktieselskab,Europe,Insurance / Pension,USD,FY10,
PKB PRIVATBANK AG,Europe,Asset Managers,USD,FY10,
Platinum Grove Asset Mgmt LP,Americas,Asset Managers,USD,FY10,
PNC Bank,Americas,Asset Managers,USD,FY10,
Prudential Asset Management,Americas,Asset Managers,USD,FY10,
Rabobank,Europe,Banks / Corporates,USD,FY10,Bank Treasuries
RBC ,Americas,Other,USD,FY10,
Saudi Arabian Monetary Agency (SAMA),Middle East & Africa,Central Banks / Official Institutions,USD,FY10,
SPNY,Americas,Asset Managers,USD,FY10,
St Paul Travellers Insurance Company ,Americas,Asset Managers,USD,FY10,
Standard Chartered Bank,Europe,Asset Managers,USD,FY10,
Star Asset Management,Europe,Asset Managers,USD,FY10,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY10,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY10,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY10,
State Street Global Advisors (SSGA),Americas,Asset Managers,USD,FY10,
SUMITOMO TRUST AND BANKING,Asia,Asset Managers,USD,FY10,
SYMPHONIA SGR SPA,Europe,Asset Managers,USD,FY10,
THRIVENT FINCL FOR LUTHERANS,Americas,Asset Managers,USD,FY10,
UBS,Europe,Asset Managers,USD,FY10,
UBS,Europe,Asset Managers,USD,FY10,
UBS Asset Management,Europe,Asset Managers,USD,FY10,
United Nations,Americas,Central Banks / Official Institutions,USD,FY10,
Vanguard,Americas,Asset Managers,USD,FY10,
Vontobel Asset Management,Europe,Asset Managers,USD,FY10,
WADDELL & REED AM.,Americas,Asset Managers,USD,FY10,
Wells Capital,Americas,Asset Managers,USD,FY10,
Wells Capital,Americas,Asset Managers,USD,FY10,
Western Asset Management Company (WAMCO),Americas,Asset Managers,USD,FY10,
Wharton Asset Management,Europe,Asset Managers,USD,FY10,
xxx,Asia,Central Banks / Official Institutions,USD,FY10,
xxx,Asia,Central Banks / Official Institutions,USD,FY10,
Arab Monetary Fund (AMF),Middle East & Africa,Central Banks / Official Institutions,USD,FY14,
Bank for International Settlements (BIS),Europe,Central Banks / Official Institutions,USD,FY14,
Bank Leumi,Middle East & Africa,Banks / Corporates,USD,FY14,Bank
KBC Bank NV,Americas,Banks / Bank Treasuries / Corporates,USD,FY16,Bank
Lloyds Banking Group plc,Americas,Banks / Corporates,USD,FY10,Bank Treasuries
Banque de France,Europe,Central Banks / Official Institutions,USD,FY14,
Banque Delen,Europe,Banks / Corporates,USD,FY14,Bank
Blackrock,North America,Fund Managers,USD,FY14,
Maxim Financial Corporation,Americas,Banks / Corporates,USD,FY16,Bank
BMO Account X 4,North America,Fund Managers,USD,FY14,
Broadcom Corp ,North America,Banks / Corporates,USD,FY14,
Catlin Insurance Co,North America,Insurance / Pension,USD,FY14,
"Catlin Ltd, NY   ",North America,Insurance / Pension,USD,FY14,
Central Bank of Bangladesh,Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Belgium (National Bank of Belgium),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Belgium (National Bank of Belgium),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Belgium (National Bank of Belgium),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Brazil,Latin America & Caribbean,Central Banks / Official Institutions,USD,FY14,
Central Bank of Canada (Bank of Canada),North America,Central Banks / Official Institutions,USD,FY14,
Central Bank of Dominican Republic,Latin America & Caribbean,Central Banks / Official Institutions,USD,FY14,
Central Bank of Estonia (Bank of Estonia),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Finland (Bank of Finland),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Germany (Deutsche Bundesbank),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Mexico,North America,Central Banks / Official Institutions,USD,FY14,
Central Bank of Peru,Latin America & Caribbean,Central Banks / Official Institutions,USD,FY14,
Central Bank of the Russian Federation,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Serbia,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Spain,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Turkey,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Uruguay ,Latin America & Caribbean,Central Banks / Official Institutions,USD,FY14,
Corporacion Andina De Fomento (CAF),Latin America & Caribbean,Central Banks / Official Institutions,USD,FY14,
Credicorp Bank,Latin America & Caribbean,Banks / Corporates,USD,FY14,Bank Treasuries
Credit Suisse Asset Mgmt.,Europe,Fund Managers,USD,FY14,
Daiwa ,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
Deutsche Asset Management Americas (DWS Investments),Europe,Fund Managers,USD,FY14,
Deutsche Bank ,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
Dutch NB,Europe,Central Banks / Official Institutions,USD,FY14,
Florida State Board of Administration,North America,Central Banks / Official Institutions,USD,FY14,Public
Ford Motor Company,North America,Banks / Corporates,USD,FY14,
Franklin Templeton Investment Management Limited,North America,Fund Managers,USD,FY14,
Mizuho,Americas,Banks / Corporates,USD,FY12,Bank Treasuries
Graham Capital Management LP,North America,Fund Managers,USD,FY14,
Hsbc Private Bank (Suisse) SA (SYID REPNATBQG 999810577),Europe,Banks / Corporates,USD,FY14,Bank
John Hancock Life Insurance Company,North America,Insurance / Pension,USD,FY14,
Leichester Square Capital Management,Europe,Fund Managers,USD,FY14,
Lombard Odier,Europe,Fund Managers,USD,FY14,
MAPFRE INVERSION DOS SGIIC,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
MED Bank,Europe,Banks / Corporates,USD,FY14,Bank
Merck Sharp & Dohme Corp,North America,Banks / Corporates,USD,FY14,
Millennium Partners ,North America,Fund Managers,USD,FY14,
Mint (retail broker),North America,Fund Managers,USD,FY14,
NAB ,Asia,Banks / Corporates,USD,FY14,Bank Treasuries
Northern Trust ,North America,Fund Managers,USD,FY14,
Pacific Investment Management Company (PIMCO),North America,Fund Managers,USD,FY14,
Payden & Rygel,Europe,Fund Managers,USD,FY14,
Pfizer,North America,Banks / Corporates,USD,FY14,
PFM Management,North America,Fund Managers,USD,FY14,
Pictet & Cie.,Europe,Banks / Corporates,USD,FY14,
Pinebridge Investments ,North America,Fund Managers,USD,FY14,
Public Financial Management ,North America,Fund Managers,USD,FY14,
Rabobank ,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
Renaissance Reinsurance ,Europe,Insurance / Pension,USD,FY14,
City of San Diego,North America,Central Banks / Official Institutions,USD,FY14,Public
Sedlarsbanki,Europe,Central Banks / Official Institutions,USD,FY14,
Spinnaker Asset Management,North America,Fund Managers,USD,FY14,
Standard Chartered Treasury,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY14,
State of Indiana,North America,Central Banks / Official Institutions,USD,FY14,Public
State Street Global Advisors (SSGA),North America,Asset Managers,USD,FY14,
Swiss National Bank,Europe,Central Banks / Official Institutions,USD,FY14,
Talanx Asset Management ,Europe,Fund Managers,USD,FY14,
The Bank of Korea (APAC),Asia,Central Banks / Official Institutions,USD,FY14,
Thomas Miller,Europe,Banks / Corporates,USD,FY14,
UBP,Europe,Fund Managers,USD,FY14,Bank
UBS Asset Management,North America,Fund Managers,USD,FY14,
UBS Asset Management,North America,Fund Managers,USD,FY14,
Unicredito,Europe,Banks / Corporates,USD,FY14,Bank
Vanguard,North America,Fund Managers,USD,FY14,
Wells Capital,North America,Fund Managers,USD,FY14,
Wells Capital ,North America,Fund Managers,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
ABBEY NATIONAL TREASURY SERVICES PLC,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Aberdeen Asset Management ,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Arab Monetary Fund,Middle East & Africa,Central Banks / Official Institutions,USD,FY16,
BANCO CARREGOSA,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Central Bank of Dominican Republic,Americas,Central Banks / Official Institutions,USD,FY16,
Central Bank of Peru,Americas,Central Banks / Official Institutions,USD,FY16,
Central Bank of Guatemala,Americas,Central Banks / Official Institutions,USD,FY16,
Central Bank of Phillipines (Bangko Sentral ng Pilipinas),Asia,Central Banks / Official Institutions,USD,FY16,
BANK DELEN N.V.,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,USD,FY16,
Bank J. Safra Sarasin ,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,USD,FY16,
Bank of China Hong Kong (BOCHK),Asia,Banks / Bank Treasuries / Corporates,USD,FY16,Bank
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY16,
MORGAN STANLEY PRIVATE BANKING LONDON,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank
Central Bank of Belgium (National Bank of Belgium),Europe,Central Banks / Official Institutions,USD,FY16,
Bank for International Settlements (BIS),Europe,Central Banks / Official Institutions,USD,FY16,
BLACKROCK (NY/NJ),Americas,Asset Managers / Pension / Insurance,USD,FY16,
City of San Diego,Americas,Central Banks / Official Institutions,USD,FY16,
Morgan Stanley trading,Americas,Asset Managers / Pension / Insurance,USD,FY19,Bank
CREDIT AGRICOLE AM,Europe,Asset Managers / Pension / Insurance,USD,FY16,
CROWN AGENTS INVESTMENT MANAGEMENT LIMITED,Americas,Asset Managers / Pension / Insurance,USD,FY16,
DB AM,Europe,Asset Managers / Pension / Insurance,USD,FY16,
DEGROOFLUX,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Ford Motor Company,Americas,Banks / Bank Treasuries / Corporates,USD,FY16,
GOLDMAN SACHS ASSET MGMT,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Hong Kong Monetary Authority (HKMA),Asia,Central Banks / Official Institutions,USD,FY16,
Hong Kong Monetary Authority (HKMA),Asia,Central Banks / Official Institutions,USD,FY16,
ICBC,Asia,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY16,
INTESA SANPAOLO SPA,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Jordan,Middle East & Africa,Banks / Bank Treasuries / Corporates,USD,FY16,
National Bank Financial ,Americas,Asset Managers/Pension/Insurance,USD,FY19,Bank Treasuries
KBC GROUP,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Kommuninvest i Sverige AB (Publ),Europe,Asset Managers / Pension / Insurance,USD,FY16,
Korean Investment Corporation (KIC),Asia,Central Banks / Official Institutions,USD,FY16,
LLOYDS TSB BANK PLC,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
LOOMIS SAYLES,Europe,Asset Managers / Pension / Insurance,USD,FY16,
MAPFRE INSURANCE,Europe,Asset Managers / Pension / Insurance,USD,FY16,
MARINER TRICADIA,Americas,Asset Managers / Pension / Insurance,USD,FY16,
Meitva,Middle East & Africa,Asset Managers / Pension / Insurance,USD,FY16,
Central Bank of Mexico,Americas,Central Banks / Official Institutions,USD,FY16,
National Bank Financial (as agt),Americas,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Central Bank of Serbia,Europe,Central Banks / Official Institutions,USD,FY16,
NATIONAL BANK OF UKRAINE,Europe,Central Banks / Official Institutions,USD,FY16,
NORTHERN TRUST,Americas,Asset Managers / Pension / Insurance,USD,FY16,
OESTERREICHISCHE NATIONALBANK,Europe,Central Banks / Official Institutions,USD,FY16,
PAYDEN & RYGEL,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
PFM ASSET MANAGEMENT LLC,Americas,Asset Managers / Pension / Insurance,USD,FY16,
PINEBRIDGE INVESTMENTS,Americas,Asset Managers / Pension / Insurance,USD,FY16,
PWM - External Clients - Europe,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Reserve Bank of Australia,Asia,Central Banks / Official Institutions,USD,FY16,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY16,
National Bank Financial Inc,Europe,Banks/Bank Treasuries/Corporates,USD,FY19,Bank Treasuries
Central Bank of the Russian Federation,Europe,Central Banks / Official Institutions,USD,FY16,
County of San Bernardino,Americas,Central Banks / Official Institutions,USD,FY16,
San Mateo County,Americas,Central Banks / Official Institutions,USD,FY16,
Saudi Arabian Monetary Agency (SAMA),Middle East & Africa,Central Banks / Official Institutions,USD,FY16,
Schweizerische Nationalbank,Europe,Central Banks / Official Institutions,USD,FY16,
SCOTIABANK,Americas,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
NATIONAL BANK FINANCIAL INC.,Americas,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY16,
STATE BANK OF INDIA,Asia,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Central Bank of Finland (Bank of Finland),Europe,Central Banks / Official Institutions,USD,FY16,
SVENSKA HANDELSBANKEN ,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
UBS AG,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
UBS AG,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
UBS AG - ADVISORY DESK,Europe,Asset Managers / Pension / Insurance,USD,FY16,
NATIONAL BANK FINANCIAL INC.,Americas,Banks/Bank Treasuries/Corporates,USD,FY17,Bank Treasuries
UBS AM / BRINSON,Europe,Asset Managers / Pension / Insurance,USD,FY16,
VANGUARD,Americas,Asset Managers / Pension / Insurance,USD,FY16,
The Vatican,Europe,Central Banks / Official Institutions,USD,FY16,
WELLS,Americas,Asset Managers / Pension / Insurance,USD,FY16,
xxx,Asia,Central Banks / Official Institutions,USD,FY16,
xxx,Asia,Central Banks / Official Institutions,USD,FY16,
ZKB,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Amundi UK (aka CAAM),Europe,Asset Managers / Pension / Insurance,USD,FY17,
Asian Development Bank (SG),Asia Pacific,Central Banks / Official Institutions,USD,FY17,
Banca IMI Private Bank,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
Central Bank of Dominican Republic,Americas,Central Banks / Official Institutions,USD,FY17,
Central Bank of Peru,Americas,Central Banks / Official Institutions,USD,FY17,
Central Bank of Guatemala,Americas,Central Banks / Official Institutions,USD,FY17,
Central Bank of Mexico,Americas,Central Banks / Official Institutions,USD,FY17,
Central Bank of Canada (Bank of Canada),Americas,Central Banks / Official Institutions,USD,FY17,
Central Bank of Finland (Bank of Finland),Europe,Central Banks / Official Institutions,USD,FY17,
Central Bank of Korea (Bank of Korea),Asia Pacific,Central Banks / Official Institutions,USD,FY17,
Central Bank of Korea (Bank of Korea),Asia Pacific,Central Banks / Official Institutions,USD,FY17,
Bank of Nova Scotia CA,Americas,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
Banque de France,Europe,Central Banks / Official Institutions,USD,FY17,
Banque Degroof,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
Banque Et Caisse D'Epargne De,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
Blackrock Financial Management,Americas,Asset Managers / Pension / Insurance,USD,FY17,
BNP Miami / BNP Paribas Investment SVCS - NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Banque populaire.,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
Capital Research NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Catlin Inc,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Central Bank of Luxembourg,Europe,Central Banks / Official Institutions,USD,FY17,
Central Bank of Belgium (National Bank of Belgium),Europe,Central Banks / Official Institutions,USD,FY17,
Central Bank of Belgium (National Bank of Belgium),Europe,Central Banks / Official Institutions,USD,FY17,
Central Bank of the Russian Federation,Europe,Central Banks / Official Institutions,USD,FY17,
Central Bank of Ireland,Europe,Central Banks / Official Institutions,USD,FY17,
Chilton Investment CO LLC NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
National Bank of Canada,Americas,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
CIM Banque,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
The Vatican,Europe,Central Banks / Official Institutions,USD,FY17,
X3-Citi-HKMA,Asia Pacific,Central Banks / Official Institutions,USD,FY17,
X1-Citi-Donner & Reuschel AM,Europe,Asset Managers / Pension / Insurance,USD,FY17,
xxx,Asia Pacific,Central Banks / Official Institutions,USD,FY17,
x1 -BMO- Bank Leumi Treasury,Middle East & Africa,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
National Financial Bank Treasury,Americas,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
NBF,Americas,Banks / Corporates,USD,FY16,Bank Treasuries
State of Illionis,Americas,Central Banks / Official Institutions,USD,FY17,
X1-WF_LJ1,Americas,Asset Managers / Pension / Insurance,USD,FY17,
NBF,Americas,Banks/Pension/Insurance,USD,FY19,Bank Treasuries
X3-WF_Carribean Development Bank,Americas,Central Banks / Official Institutions,USD,FY17,
X4-WF_Banco BHD (Panama),Americas,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Cooperative Rabobank UA,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
County of Santa Clara,Americas,Central Banks / Official Institutions,USD,FY17,
"Credit Suisse Asset Mgmt, Zurich ",Europe,Asset Managers / Pension / Insurance,USD,FY17,
Deutsche Asset Management NY NYK,Europe,Asset Managers / Pension / Insurance,USD,FY17,
Dinosaur Securities NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Donner & Reuschel Bank AG,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Donner & Reuschel AM,Europe,Asset Managers / Pension / Insurance,USD,FY17,
Ds Investment House Ltd (SYID DSSEC 999734587),Middle East & Africa,Asset Managers / Pension / Insurance,USD,FY17,
Element Capital Management LLC NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Goldman Sachs Portfolio Management NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Goldman Sachs Private Bank,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
HIGHLAND NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
X1-HSBC - HK+Bermuda,Americas,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
X2-HSBC - HKMA,Asia Pacific,Central Banks / Official Institutions,USD,FY17,
xxx,Asia Pacific,Central Banks / Official Institutions,USD,FY17,
X4-HSBC -DutchCB,Europe,Central Banks / Official Institutions,USD,FY17,
HSBC Bank,Asia Pacific,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
JP Morgan Asset Management - US,Americas,Asset Managers / Pension / Insurance,USD,FY17,
KBC Bank Nv,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
KLS Diversified Asset Management,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Korean Investment Corporation (KIC),Asia Pacific,Central Banks / Official Institutions,USD,FY17,
Lloyds TSB Bank,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Lombard Odier Darier Hentsch & Cie,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,
Magna Capital,Europe,Asset Managers / Pension / Insurance,USD,FY17,
Mariner Investment Group [Hp],Americas,Asset Managers / Pension / Insurance,USD,FY17,
Mitsubishi UFJ Asset Management,Asia Pacific,Asset Managers / Pension / Insurance,USD,FY17,
Narodowy Banka Polski,Europe,Central Banks / Official Institutions,USD,FY17,
Central Bank of Serbia,Europe,Central Banks / Official Institutions,USD,FY17,
National Bank of Hungary,Europe,Central Banks / Official Institutions,USD,FY17,
NatIxis Asset Management - (NON EURO DEALS ONLY),Europe,Asset Managers / Pension / Insurance,USD,FY17,
Nordic Investment Bank,Europe,Central Banks / Official Institutions,USD,FY17,
Northern Trust NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Oesterreichische National Bank,Europe,Central Banks / Official Institutions,USD,FY17,
Partner Reinsurance Company of the U.S.,Americas,Asset Managers / Pension / Insurance,USD,FY17,
PFM Inc. NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Pacific Investment Management Company (PIMCO),Americas,Asset Managers / Pension / Insurance,USD,FY17,
NBF Treasury,Americas,Banks / Banks Treasuries / Corporates,USD,FY16,Bank Treasuries
Rabobank International NL,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Raiffeisen Bank International AG.,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Resona Bank Ltd,Asia Pacific,Banks / Bank Treasuries / Corporates,USD,FY17,Bank
Royal Bank of Canada,Americas,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
State Administration of Foreign Exchange (SAFE),Asia Pacific,Central Banks / Official Institutions,USD,FY17,
Sal. Oppenheim JR. & Cie Lux SA,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,
State of Washington Investment Board,Americas,Central Banks / Official Institutions,USD,FY17,
Strong Capital NYK,Americas,Asset Managers / Pension / Insurance,USD,FY17,
SVENKSA HANDELSBANKEN NY,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
X1-TD-Merrion Capital Investment Managers (Based in Ireland),Europe,Asset Managers / Pension / Insurance,USD,FY17,
PNC Bank NYK,Americas,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
PNC Bank NYK,US,Bank,USD,FY17,Bank Treasuries
PNC Capital Advisors LLC,Americas,Asset Managers/Pension/Insurance,USD,FY17,Bank
Rabobank ,Americas,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
X6-TD -M1 Pension,Asia Pacific,Asset Managers / Pension / Insurance,USD,FY17,
"True North Partners, LLC",Americas,Asset Managers / Pension / Insurance,USD,FY17,
UBS Fund Management (Switzerland) AG,Europe,Asset Managers / Pension / Insurance,USD,FY17,
UBS Global Asset Management,Europe,Asset Managers / Pension / Insurance,USD,FY17,
UBS Global Asset Management,Europe,Asset Managers / Pension / Insurance,USD,FY17,
Vanguard Index,Americas,Asset Managers / Pension / Insurance,USD,FY17,
Volksbank Wien AG,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Zurcher Kant ZRH,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Zurcher Kant ZRH,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Zurcher Kant ZRH,Europe,Banks / Bank Treasuries / Corporates,USD,FY17,Bank Treasuries
Alaska Permanent Fund Corporation,US,Central Banks / Official Institutions,USD,FY15,
Arab Monetary Fund (AMF),Middle East and Africa,Central Banks / Official Institutions,USD,FY15,
Asian Development Bank,Asia,Central Banks / Official Institutions,USD,FY15,
ASR VERZEKERINGSGROEP NV,Europe,Asset Managers / Pension / Insurance,USD,FY15,
Banca Zarattini & Company SA,Europe,Banks / Bank Treasuries / Corporates,USD,FY15,Bank
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY15,
Banque Cantonale de Geneve,Europe,Banks / Bank Treasuries / Corporates,USD,FY15,Bank
Banque de France,Europe,Central Banks / Official Institutions,USD,FY15,
Banque et Caisse d'Epargne de l'Etat (BCEE),Europe,Banks / Bank Treasuries / Corporates,USD,FY15,Bank
Blackrock ,US,Asset Managers / Pension / Insurance,USD,FY15,
BNP Paribas SA,Europe,Banks / Bank Treasuries / Corporates,USD,FY15,Bank Treasuries
BSI SA (Lugano),Europe,Asset Managers / Pension / Insurance,USD,FY15,
Capital Research & Management Co,US,Asset Managers / Pension / Insurance,USD,FY15,
